Database	Pathway Commons	PhosphoELM_PC	PhosphoSitePlus_PC	High confidence additions	Medium confidence additions (P.ELM)	Medium confidence additions (PSP)
BioGRID	37110	333	4016	876	459	8933
IntAct	29444	197	2189	1180	482	10457
Reactome	23574	109	1826	1174	490	10826
PhosphoSite	11686	0	9393	263	523	4170
HPRD	9475	425	2850	721	417	10254
PANTHER	9238	10	655	1420	522	11751
pid	8557	67	1250	1234	499	11341
INOH	6203	1	333	1505	522	11988
CTD	5852	57	578	1453	514	11795
MSigDB	4947	13	83	1590	521	12153
BIND	3226	78	564	1425	502	11837
NetPath	1936	43	632	1408	516	11786
DIP	1343	26	492	1519	521	11815
Pathbank	345	28	154	1552	511	12120
